task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
127	64/c4afb3	217214	calling_pipeline:medakaInference_consensus (92)	COMPLETED	0	2026-06-04 12:06:13.938	6s	3.4s	106.4%	476.6 MB	1.2 GB	38.9 MB	2 MB
156	ed/d38f51	217301	calling_pipeline:medakaInference_consensus (121)	COMPLETED	0	2026-06-04 12:06:14.013	6s	3.4s	107.2%	477.3 MB	1.2 GB	38.9 MB	2 MB
128	53/bde6e2	217460	calling_pipeline:medakaInference_consensus (93)	COMPLETED	0	2026-06-04 12:06:14.231	5.9s	3.4s	106.0%	476.8 MB	1.2 GB	38.9 MB	2 MB
157	43/7ac1d2	217542	calling_pipeline:medakaInference_consensus (122)	COMPLETED	0	2026-06-04 12:06:14.327	6s	3.4s	105.8%	478.5 MB	1.2 GB	38.9 MB	2 MB
129	7d/d20819	217627	calling_pipeline:medakaInference_consensus (94)	COMPLETED	0	2026-06-04 12:06:14.414	6s	3.7s	103.9%	438.2 MB	1.1 GB	38.9 MB	2 MB
135	fb/14b250	221658	calling_pipeline:medakaInference_consensus (100)	COMPLETED	0	2026-06-04 12:06:19.010	4.1s	2.1s	100.7%	365.1 MB	1.1 GB	38.9 MB	1.7 MB
131	4e/9e7650	221091	calling_pipeline:medakaInference_consensus (96)	COMPLETED	0	2026-06-04 12:06:18.097	5.2s	2.4s	102.0%	365.8 MB	1.1 GB	38.8 MB	1.7 MB
133	f8/5ead5a	220928	calling_pipeline:medakaInference_consensus (98)	COMPLETED	0	2026-06-04 12:06:17.819	5.9s	2.8s	103.2%	370.4 MB	1.1 GB	38.9 MB	1.7 MB
136	7f/54e001	221732	calling_pipeline:medakaInference_consensus (101)	COMPLETED	0	2026-06-04 12:06:19.086	5.1s	2.9s	103.0%	377 MB	1.1 GB	38.9 MB	1.7 MB
138	16/9f0bf5	221820	calling_pipeline:medakaInference_consensus (103)	COMPLETED	0	2026-06-04 12:06:19.293	5.5s	2.9s	103.4%	376.4 MB	1.1 GB	38.9 MB	1.7 MB
